id,season_id,rank_id,kill_death_ratio,average_damage,match_counts,is_party,create_date
101,9,16,0.96,442.31,480,1,2021-09-16 12:52:59.387
102,8,16,1.04,445.22,475,1,2021-09-16 12:54:06.257
103,7,12,0.99,412.95,554,1,2021-09-16 12:54:52.050
104,11,16,0.82,339.47,3843,1,2021-09-16 12:55:43.210
105,10,12,1.06,488,253,0,2021-09-16 13:09:09.733
106,8,13,0.85,428,669,0,2021-09-16 13:10:17.817
107,10,12,0.8,331,463,1,2021-09-16 13:10:27.463
108,10,16,0.8,450,200,0,2021-09-16 13:10:54.387
109,10,15,0.82,424,393,1,2021-09-16 14:03:19.323
110,8,16,0.84,415,581,1,2021-09-16 14:05:16.503
111,10,17,1.4,600,100,0,2021-09-16 18:16:50.510
112,11,16,1.29,553,4300,0,2021-09-17 01:52:28.123
113,10,12,0.99,381,860,0,2021-09-17 04:20:47.397
114,10,16,0.8,860,-1,0,2021-09-17 07:12:03.060
115,10,16,0.91,372,380,0,2021-09-17 07:13:49.727
116,11,20,2.7,1000,4200,1,2021-09-17 07:15:41.393
117,10,19,2.62,1200,200,1,2021-09-17 07:16:14.233
118,11,19,2.6,1200,200,1,2021-09-17 07:17:19.253
119,3,16,1.5,500,9000,0,2021-09-17 07:47:13.370
120,10,19,1.22,443,16500,0,2021-09-17 08:55:27.230
121,11,20,4,1100,5000,0,2021-09-17 09:07:36.387
122,10,16,1,700,150,0,2021-09-17 10:34:46.843
123,11,10,1.95,650,130,0,2021-09-17 11:48:50.890
124,11,13,0.88,450,2000,0,2021-09-17 11:49:52.873
125,10,12,0.6,768,560,0,2021-09-17 13:31:08.097
126,10,15,1.52,715,215,0,2021-09-17 17:47:11.240
127,10,15,2,715,215,0,2021-09-17 17:47:56.713
128,10,12,1.25,425.73,226,1,2021-09-18 02:31:11.427
129,10,14,1.2,450.11,520,1,2021-09-22 19:00:18.890
130,10,15,1.2,450.11,520,1,2021-09-22 19:00:56.683
131,10,12,0.97,477,280,0,2021-09-28 17:51:52.743
132,10,8,0.25,800,250,0,2021-09-29 13:44:45.817
133,10,9,1.6,650,100,0,2021-09-30 05:58:13.257
134,7,17,1.8,1500,-1,0,2021-10-01 00:51:09.960
135,11,22,0.88,320,800,0,2021-10-01 18:22:41.943
136,11,22,1.5,500,1000,0,2021-10-01 18:23:39.770
137,11,22,0.5,150,800,0,2021-10-01 18:24:11.363
138,10,8,0.25,210.85,307,1,2021-10-04 01:09:36.143
139,11,11,81,354,-1,1,2021-10-05 15:22:33.967
140,4,21,4.7,980,1000,1,2021-10-09 05:16:07.183
141,11,16,1.5,428,7110,1,2021-10-09 05:42:31.490
142,11,16,1.5,600,5500,1,2021-10-09 08:21:59.650
143,10,13,1.17,500,-1,0,2021-10-09 11:02:19.607
144,11,21,3.89,1000,30000,1,2021-10-10 09:32:43.613
145,11,13,0.86,500,-1,0,2021-10-10 17:07:27.703
146,9,16,2.8,700,-1,0,2021-10-11 08:29:07.597
147,11,12,0.85,269.15,2640,0,2021-10-11 12:46:45.977
