id,kill_death_ratio,average_damage,match_counts,is_party,rank_id
216,1.28,384,1150,0,16
217,0.36,169.38,409,0,22
218,1.1,531.1,676,0,16
219,1.02,414.46,614000,0,16
220,0.25,155.43,594,1,8
221,1.18,513,69300,0,8
222,1.18,513,69300,0,16
223,1.18,513,69300,0,0
224,0.44,200,-1,1,22
225,2.01,580,97,1,16
226,1.27,1500,1700,0,13
227,1.6,400,2000,0,16
228,2,1299,84600,0,21
229,1.02,500,-1,0,14
230,0.02,12,100,0,3
231,1.1,400,250,0,12
232,1.67,502,78,0,12
233,1.33,382.54,-1,0,22
234,2.1,1468,600,0,20
235,1.5,500,500,0,20
236,7.52,4056,400,0,21
237,1.18,457.83,1210,1,20
238,1.22,444.05,585,1,20
239,1.22,444.05,228,1,20
240,1.22,200,585,0,20
241,2.5,800,670,1,21
242,6,1200,-1,1,22
243,1.95,555,200000,0,20
244,1.22,444.05,585,1,20
245,1.2,398.5,200,1,16
246,0.5,398.5,200,1,16
247,0.2,158.58,1,0,21
248,0.2,158.58,1568,0,21
249,3,870,6500,1,20
250,1.3,520,12000,1,17
251,0.77,364.99,11900,1,14
252,4.5,900,-1,0,20
253,4.5,900,-1,0,20
254,9,5000,100000,0,21
255,9,5000,100000,0,21
256,1,600,-1,0,13
257,3,1000,1000,0,20
258,51,3420,6321,0,16
259,89,4690,44320,0,21
260,1.8,700,1400,1,21
261,1.7,600,1400,1,21
262,1.9,600,1900,1,21
263,1.23,600,1900,1,21
264,2,745,15000,0,21
265,3,1000,254,0,4
266,4,1487,1478,0,22
267,0.7,230,10000,0,8
268,7,1250,1000,0,20
269,1,330,5000,0,16
270,0.8,600,150,0,12
271,8,2500,15000,1,21
272,1.8,700,22000,1,21
273,8,2500,15000,1,22
274,1.8,700,22000,1,20
275,1.2,700,500,0,16
276,4.3,900,200,0,22
277,4.5,900,500,1,20
278,4.5,900,500,1,20
279,1.8,700,120,1,21
280,1.8,700,1200,1,21
281,0.7,300,10000,0,10
282,3.47,849.45,14857,1,21
283,3.47,849.45,14857,1,0
284,1.26,800,-1,1,20
285,20,849.45,14857,1,0
286,20,849.45,14857,1,20
287,3.47,849.45,14857,1,21
288,3.47,849.45,14857,1,21
289,3.47,849.45,14857,1,22
290,3.47,849.45,14857,1,21
291,3.47,867.45,-1,1,0
292,28.57,867.45,-1,1,0
293,0.96,416,2000,0,13
294,28.57,867.45,-1,1,15
295,1.3,450,-1,0,14
296,1.3,450,-1,1,14
297,1.03,427.5,-1,1,21
298,1.03,427.5,-1,1,21
299,1.03,427.5,-1,1,20
300,0.14,146.11,-1,1,20
301,0.14,146.11,-1,1,22
302,1.5,300,-1,1,13
303,5.1,900,300,0,22
304,3.47,879.45,-1,1,13
305,3.47,879.45,-1,0,13
306,3.4,800,120,1,20
307,5,1000,2000,0,20
308,0.8,422,511,1,16
309,0.8,422,1000,1,16
310,0.8,422,511,1,16
311,1.3,600,1200,1,21
312,2.7,800,8000,0,21
313,0.47,185.77,731,1,22
314,2.3,700,-1,0,20
315,0.47,185.77,731,1,4
316,4.5,1200,56,1,20
317,3.9,896,80000,0,20
318,1.5,1200,5000,1,21
319,1.5,1200,5000,1,20
320,2.5,700,500,0,22
321,2,600,9000,0,18
322,2.85,775.69,800,1,19
323,1.2,480,5000,0,16
324,2.08,629.16,1572,0,20
325,0.8,330,2000,1,16
326,1.23,510,800,1,12
327,1.23,510,800,1,16
328,0.83,320,2400,0,16
329,4.36,830,233,0,22
330,4.36,830,-1,0,22
331,2.3,800,200,1,20
332,3.8,1000,1000,1,20
333,1.65,560,1000,1,16
334,1,1000,-1,0,8
335,1.12,414.5,1200,0,16
336,0.34,131.04,1009,0,12
337,1.2,400,1000,0,16
338,18,1380,3300,1,20
339,0.5,95,15000,0,21
340,99.99,89401,14223845,0,0
341,5.8,1100,50000,1,21
342,2.8,510,3000,0,20
343,1.35,440.62,4952,1,16
344,4.5,1000,1260,0,20
345,7,1100,10000,1,20
346,4.89,840,1200,1,20
347,0.6,300,-1,0,16
348,1.5,600,10000,0,20
349,2.29,755.21,552,1,16
350,5,1080,100,0,16
351,1.2,900,1000,0,14
352,2.29,755.21,552,1,21
353,0,0,0,0,0
354,1,460,300,0,16
355,1.74,548,966,0,12
356,99.99,99999.99,123456789,0,21
357,1.8,600,100,0,12
358,0.38,162,969,0,12
359,1.5,1000,1,0,22
360,4.5,950,1300,1,20
361,1.65,560,1000,0,22
362,2.5,700,600,1,20
363,9.6,1200,1200,0,12
364,0.35,175.62,498,1,12
365,2.5,700,200,1,17
366,0.82,377,540,0,16
367,2.8,1400,-1,0,20
368,3,800,300,0,22
369,0.6,324,540,0,16
370,3,880,300,1,22
371,3,880,300,0,22
372,2.5,750,250,0,22
373,1.82,609,605,0,16
374,3,1000,300,0,22
375,3,1000,1000,0,22
376,7.35,1760,800,0,13
377,4.35,1026,800,0,16
378,1.8,650,2000,0,20
379,1.6,247,-1,1,10
380,3.3,800,1000,0,17
381,1.63,668,1700,1,17
382,1.63,668,1700,1,17
383,3.3,850,10000,0,17
384,7,1250,300,0,22
385,1.64,532.95,13300,1,17
386,3.4,900,1000,0,16
387,6.5,1300,20,1,16
388,2.97,816.76,1730,1,17
389,2.4,750,1500,1,18
390,2.4,741,1510,0,18
391,0.77,239,-1,0,12
392,2.32,630,850,1,16
393,0.6,800,260,0,12
394,2.93,680,1300,1,20
395,0.8,289,-1,0,12
396,1.48,719.96,201,0,16
397,2.87,841.57,1249,0,20
398,99,1,8000,0,16
399,1.89,586.33,77,0,16
400,2.1,610,640,1,16
401,0.99,450,8000,1,16
402,1.91,590,1000,0,16
403,0.2,30,5000,1,16
404,0.26,140,8000,1,16
405,6.54,1600,6000,1,16
406,0.7,300,-1,0,12
407,3.94,1000,4500,1,22
408,0.23,356,5319,0,13
409,5,1100,2600,1,22
410,1.45,455,12000,0,17
411,0.56,334.2,601,1,16
412,5,1100,2600,1,20
